"Finance Cost","Custo do Parcelamento"
"<p>In order to sell or test a store, you must first enter your test and production credentials.</p><p>Using the account of the collaborator with access to Mercado Pago Seller Account, search the credentials according to the account: <a href='https://www.mercadopago.com/mla/account/credentials' target='_blank'>Argentina</a>, <a href='https://www.mercadopago.com/mlb/account/credentials' target='_blank'>Brazil</a>, <a href='https://www.mercadopago.com/mlc/account/credentials' target='_blank'>Chile</a>, <a href='https://www.mercadopago.com/mco/account/credentials' target='_blank'>Colombia</a>, <a href='https://www.mercadopago.com/mlm/account/credentials' target='_blank'>Mexico</a>, <a href='https://www.mercadopago.com/mlu/account/credentials' target='_blank'>Uruguay</a> and <a href='https://www.mercadopago.com/mpe/account/credentials' target='_blank'>Peru</a>.</p>","<p>Para vender o testear la tienda , tienes que ingresar las credenciales de test y de producción.</p><p>Con el colaborador con acceso a la Cuenta del Vendedor de Mercado Pago, busca las credenciales según la cuenta: <a href='https://www.mercadopago.com/mla/account/credentials' target='_blank'>Argentina</a>, <a href='https://www.mercadopago.com/mlb/account/credentials' target='_blank'>Brazil</a>, <a href='https://www.mercadopago.com/mlc/account/credentials' target='_blank'>Chile</a>, <a href='https://www.mercadopago.com/mco/account/credentials' target='_blank'>Colombia</a>, <a href='https://www.mercadopago.com/mlm/account/credentials' target='_blank'>Mexico</a>, <a href='https://www.mercadopago.com/mlu/account/credentials' target='_blank'>Uruguay</a> and <a href='https://www.mercadopago.com/mpe/account/credentials' target='_blank'>Peru</a>.</p>"
"Checkout operation mode","Modo de Operación del Checkout"
"When operational mode is set as Sandbox, your sales will not be communicated to financial institutions.","Cuando el modo operacional esté definido como Sandbox, tus ventas no serán comunicadas a las instituciones financieras."
"Public Key - production","Public Key - producción"
"Access Token - production","Access Token - producción"
"Public Key - Sandbox","Public Key - Sandbox"
"Access Token - Sandbox","Access Token - Sandbox"
"Developers support","Soporte para desarrolladores"
Debug,Debug
"We record your store's communications with Mercado Pago in orer to offer a better support. Please note it is not recommended to use the debug mode when your store is in production mode.","Registramos las comunicaciones de tu tienda con Mercado Pago para ofrecer un soporte aún mejor. Atención: no se recomienda usar el modo debug con la tienda en modo de producción."
"Rewrite notification URL","Reescribe la notificación URL"
"You can override notification URLs which are automatically generated. In order to use the module's default, please do not fill in this details.","Puedes substituir las URLs de notificación que se generan automáticamente. Para usar el padrón del módulo, por favor, no cargues estos datos."
"Store Name, Category and Integrator ID","Nombre de la tienda, Categoría e ID del Integrador"
"Store Name","Nombre de la tienda"
"This is the store's name as it will appear on the customer's invoice. In case the sale was made through Checkout Pro, the invoice will also show Mercado Pago in the name.","El nombre de la tienda igual a como figurará en la factura del cliente. Si la venta se hizo por medio del Checkout Pro, la factura también identificará a Mercado Pago en el nombre."
"Category of your store","Categoría de tu tienda"
"The product category of your store on Mercado Pago.","La categoría del producto de tu tienda en Mercado Pago."
"Integrator ID","ID del integrador"
"With this number, we are able to identify all your transactions and know how many sales were processed using your account. Become a certified Mercado Pago partner and request your integrator_id <a href='https://docs.google.com/forms/d/1EeO__nZuqHf4cb81NpwtDSybPT7COluSZVrXR4A8F7Q/viewform?edit_requested=true' target='_blank'>here</a>.","Con este número, podemos identificar todas tus operaciones y saber cuántas ventas fueron procesadas con tu cuenta. Conviértete en un socio certificado de Mercado Pago y pide tu integrator_id <a href='https://docs.google.com/forms/d/1EeO__nZuqHf4cb81NpwtDSybPT7COluSZVrXR4A8F7Q/viewform?edit_requested=true' target='_blank'>here</a>."
"Sales requirements","Exigencias de ventas"
"Checkout Pro","Checkout Pro"
Enabled,Activado
Title,Título
"Payment method title at the store's checkout.","Título de la forma de pago en el checkout de la tienda."
"Deadline for payment","Plazo límite para el pago"
"Calendar days.","Días seguidos."
"Payment completion view","Visualización de la finalización del pago"
"Modal: Buyer will close via modal on the checkout screen. Redirection: Buyer will be redirected to the Mercado Pago website.","Modal, el cliente finalizará vía modal en la pantalla de checkout. Redireccionamiento, el cliente será redireccionado al sitio de Mercado Pago"
"Removed payment method","Medio de pago finalizado"
"Select the payment methods you do NOT want to accept.","Selecciona los medios de pago que NO quieres aceptar."
"Installment options limit","Límite de cuotas"
"It is possible to configure the number of installments in Checkout Pro, but the limit of installments per purchase will also depend on the minimum and maximum amount defined by each flag in the country of your store.","Se puede configurar el número de cuotas en Checkout Pro, pero el límite de cuotas por compra también depende de los valores mínimo y máximo determinados por cada bandera del país en que se encuentra tu tienda."
"Conversion tags","Tags de conversión"
"You can link your Checkout Pro sales with external services.","Puedes asociar tus ventas del Checkout Pro a servicios externos."
Facebook,Facebook
"Link your sales with Facebook by entering the ID No. and your tracking code.","Asocia tus ventas al Facebook, informando el ID del de tu código de rastreo."
"Google Ads","Google Ads"
"Link your sales with Google Ads by entering the ID No. and your tracking code.","Asocia tus ventas al Google Ads, informando el ID del tu código de rastreo."
"Link your sales with Google Ads by entering the Label and your tracking code.","Asocia tus ventas al Google Ads, informando el Label del tu código de rastreo."
"Customization and Styles","Personalización y estilos"
"Set up how the items will appear in the modal window in which the buyer will complete the purchase.","Define la apariencia de los ítems en la ventana modal en la que el cliente finalizará la compra."
"Header Color","Color del header"
"Elements Color","Colores de los elementos"
"Common Payment Method Definitions","Definiciones comunes de medios de pago"
"Minimum order total","Monto mínimo del pedido"
"Minimum amount to pay with Checkout Pro.","Monto mínimo para pago con Checkout Pro."
"Maximum order amount","Monto máximo de pedido"
"Maximum amount to pay with Checkout Pro","Monto máximo para pago con Checkout Pro."
"Payment From Specific Countries","Pago de países específicos"
"Countries eligible to use this payment method.","Países que pueden usar este medio de pago."
"Sort Order","Orden de visualización"
"Sets up in which order the payment methods will be shown at the Checkout.","Define el orden de visualización del medio de pago en el Checkout."
"Checkout Transparent","Checkout Transparente"
Abitab,Abitab
"Capture of customer details in the payment form","Captura de datos del cliente en el formulario de pago"
"Activate this option if you want to obtain buyer`s documents details, using an additional field on the payment form. Disable it if your store already gets these details.","Activa esta función para capturar documentos de clientes con un campo adicional en el formulario de pago. Desactívala si la tienda ya captura estos datos."
"Capture document identification","Capturar documento de identificación"
"Minimum amount to pay with Abitab.","Monto mínimo para el pago con Abitab."
"Maximum amount for payment with Abitab.","Monto máximo para pago con Abitab."
Banamex,Banamex
"Minimum amount for payment with Banamex.","Monto mínimo para el pago con Banamex."
"Maximum amount for payment with Banamex.","Monto máximo para pago con Banamex."
Bancomer,Bancomer
"Minimum amount for payment with Bancomer.","Monto mínimo para el pago con Bancomer."
"Maximum amount for payment with Bancomer.","Monto máximo para pago con Bancomer."
"Boleto Bancário","Boleto Bancário"
"Capture name","Capturar nombre"
"In case you leave this option active, an additional field in the payment form will obtain this information. If disabled, details will be retrieved directly from other fields within your store.","Si se activa, el formulario de pago mostrará un campo adicional para colectar esa información. Si se inhabilita, el monto será capturado directamente de otros campos en tu tienda."
"Minimum amount for payment with Boleto Bancário.","Monto mínimo para el pago con Boleto Bancário."
"Maximum amount for payment with Boleto Bancário.","Monto máximo para pago con Boleto Bancário."
"Credit and debit cards","Tarjeta de crédito y débito"
"Enable vault","Habilitar caja fuerte"
"Allows buyer to save the card for future use.","Permite que tu cliente guarde la tarjeta para uso futuro."
"Payment Action","Perfil de pago"
"Consult the store's business sector to be able to select capturing the payment at the time of the purchase or at a later moment.","Consulta la rama de negocios de la tienda para poder elegir entre capturar el pago en el acto de la compra o posteriormente."
"Use Binary Mode","Usa el modo binario"
"Installment and interest","Cuotas e intereses"
"Set within your account","Definir en tu cuenta"
"Minimum amount for payment with this payment method.","Monto mínimo para este medio de pago."
"Maximum amount for payment with this payment method.","Monto máximo para este medio de pago."
Efecty,Efecty
"Minimum amount to pay with Efecty.","Monto mínimo para el pago con Efecty."
"Maximum amount to pay with Efecty.","Monto máximo para pago con Efecty."
Oxxo,Oxxo
"Minimum amount to pay with Oxxo.","Monto mínimo para el pago con Oxxo."
"Maximum amount to pay with Oxxo.","Monto máximo para pago con Oxxo."
"Pago Efectivo","Pago Efectivo"
"Minimum amount to pay with Pago Efectivo.","Valor mínimo para pagamento Pago Efectivo."
"Maximum amount to pay with Pago Efectivo.","Monto máximo para pago con Pago Efectivo."
"Pago Fácil","Pago Fácil"
"Minimum amount to pay with Pago Fácil.","Valor mínimo para pagamento Pago Fácil."
"Maximum amount to pay with Pago Fácil.","Monto máximo para pago con Pago Fácil."
PayCash,PayCash
"Minimum amount to pay with PayCash.","Valor mínimo para pagamento PayCash."
"Maximum amount to pay with PayCash.","Monto máximo para pago con PayCash."
"Casas Lotéricas","Casas Lotéricas"
"Minimum amount to pay with Pec.","Valor mínimo para pagamento Pec."
"Maximum amount to pay with Pec.","Valor mínimo para pagamento Pec."
Pse,Pse
"Minimum amount to pay with Pse.","Valor mínimo para pagamento Pse."
"Maximum amount to pay with Pse.","Valor mínimo para pagamento Pse."
"Rapi Pago","Rapi Pago"
Redpagos,Redpagos
"Minimum amount to pay with Redpagos.","Valor mínimo para pagamento Redpagos."
"Maximum amount to pay with Redpagos.","Valor mínimo para pagamento Redpagos."
Serfin,Serfin
"Minimum amount to pay with Serfin.","Valor mínimo para pagamento Serfin."
"Maximum amount to pay with Serfin.","Valor mínimo para pagamento Serfin."
Webpay,Webpay
"Minimum amount to pay with Webpay.","Valor mínimo para pagamento Webpay."
"Maximum amount to pay with Webpay.","Valor mínimo para pagamentoh Webpay."
"Store information hosted in Mercado Pago","Información de la tienda en Mercado Pago"
"User Id","Código de identificación"
"User Email","E-mail de usuario"
"User Name","Nombre"
"Unkown Error.","Unkown Error."
"Params Error.","Params Error."
"Internal Server Error.","Internal Server Error."
"Token must be for test.","Token must be for test."
"The caller is not authorized to access this resource.","The caller is not authorized to access this resource."
"Must provide your access_token to proceed.","Must provide your access_token to proceed."
"Error in save.","Error in save."
"Unauthorized use of live credentials.","Unauthorized use of live credentials."
"The name of the parameters is wrong.","The name of the parameters is wrong."
"Error coupons API .","Error coupons API ."
"It is not possible to generate charges in this case.","It is not possible to generate charges in this case."
"The following parameters must be String without special character.","The following parameters must be String without special character."
"The following parameters must be String .","The following parameters must be String ."
"The following parameters must be Long .","The following parameters must be Long ."
"The following parameters must be Boolean .","The following parameters must be Boolean ."
"The following parameters can't be null.","The following parameters can't be null."
"The following parameters must be numeric.","The following parameters must be numeric."
"Invalid credentials.","Invalid credentials."
"The following parameter must be a map.","The following parameter must be a map."
"Invalid value.","Invalid value."
"Invalid state.","Invalid state."
"The following parameters must be valid date and format yyyy-MM-dd.","The following parameters must be valid date and format yyyy-MM-dd."
"The following parameters is too much large.","The following parameters is too much large."
"The following parameters must be valid date and format yyyy-MM-dd'T'HH:mm:ssz.","The following parameters must be valid date and format yyyy-MM-dd'T'HH:mm:ssz."
"Enpty Data.","Enpty Data."
"Unauthorized access.","Unauthorized access."
"Unauthorized marketplace.","Unauthorized marketplace."
"Unauthorized use of processing mode gateway.","Unauthorized use of processing mode gateway."
"Invalid Header.","Invalid Header."
"Invalid Marketplace for operation_type: money_transfer.","Invalid Marketplace for operation_type: money_transfer."
"Unable to resolve contingencies.","Unable to resolve contingencies."
"The following parameters must be Alphanumeric.","The following parameters must be Alphanumeric."
"Bad request.","Bad request."
"Invalid refund mode.","Invalid refund mode."
"Unsupported refund mode.","Unsupported refund mode."
"Not allowed refund mode.","Not allowed refund mode."
"Not allowed deferred charge.","Not allowed deferred charge."
"Database not available.","Database not available."
"Rate limit reached.","Rate limit reached."
"Error load charge.","Error load charge."
"The following parameters must be valid.","The following parameters must be valid."
"The following parameter must be Long or Integer.","The following parameter must be Long or Integer."
"Error in save payment contingency .","Error in save payment contingency ."
"The following parameters must be null.","The following parameters must be null."
"Fail Force Sync Kvs-Oracle.","Fail Force Sync Kvs-Oracle."
"Fail Fallback GetConfig content can't be null.","Fail Fallback GetConfig content can't be null."
"Cannot have the following parameters in the same request.","Cannot have the following parameters in the same request."
"The following paraments must be equals.","The following paraments must be equals."
"Fail refund not associate for TRX or duplicate refund .","Fail refund not associate for TRX or duplicate refund ."
"Fail connection with pool server .","Fail connection with pool server ."
"Fail for search on DS.","Fail for search on DS."
"Fail duplicate key on execute operation .","Fail duplicate key on execute operation ."
"Fail data integrity validation .","Fail data integrity validation ."
"Fail post on postBigQueue topic .","Fail post on postBigQueue topic ."
"Wrapper payments V0 exception .","Wrapper payments V0 exception ."
"Fail on create cancel transaction  .","Fail on create cancel transaction  ."
"Fail create post on Jesque .","Fail create post on Jesque ."
"Fail create acquirer reconciliation .","Fail create acquirer reconciliation ."
"Fail transaction GTW error response .","Fail transaction GTW error response ."
"The following paraments must be different.","The following paraments must be different."
"Invalid Fallback for this payment.","Invalid Fallback for this payment."
"Invalid store id.","Invalid store id."
"Invalid pos id.","Invalid pos id."
"Fail getting an item.","Fail getting an item."
"Fail getting charge for creation.","Fail getting charge for creation."
"Fail for search without error information.","Fail for search without error information."
"Fail for search timeout error.","Fail for search timeout error."
"Invalid JSON.","Invalid JSON."
"Fail while saving document on DS.","Fail while saving document on DS."
"Number of rows exceeded the limits.","Number of rows exceeded the limits."
"Date format must be yyyy-MM-dd'T'HH:mm:ss.SSSZ.","Date format must be yyyy-MM-dd'T'HH:mm:ss.SSSZ."
"Payment method not found.","Payment method not found."
"Invalid issuer_id.","Invalid issuer_id."
"Invalid parameters for payment_method API.","Invalid parameters for payment_method API."
"BankTransfers Timeout.","BankTransfers Timeout."
"BankTransfers post API fail.","BankTransfers post API fail."
"BankTransfers get API fail.","BankTransfers get API fail."
"BankTransfers data not found.","BankTransfers data not found."
"Connection to Offline Payments API Failed.","Connection to Offline Payments API Failed."
"ExternalReference post api fail.","ExternalReference post api fail."
"Payment not found.","Payment not found."
"Already posted the same request in the last minute.","Already posted the same request in the last minute."
"Customer not found.","Customer not found."
"Connection to Customers API fail.","Connection to Customers API fail."
"Gateway Transactions API fail.","Gateway Transactions API fail."
"Connection to acquirer timed out.","Connection to acquirer timed out."
"Card Token not found.","Card Token not found."
"GET to Card Token API fail.","GET to Card Token API fail."
"Connection to Payment Methods API fail.","Connection to Payment Methods API fail."
"Card token isssuer can't be null.","Card token isssuer can't be null."
"Card not found.","Card not found."
"Invalid payment_method_id.","Invalid payment_method_id."
"Invalid remedy.","Invalid remedy."
"Invalid profileId.","Invalid profileId."
"Invalid scope.","Invalid scope."
"Invalid status for update.","Invalid status for update."
"Invalid transaction_amount for update.","Invalid transaction_amount for update."
"The action requested is not valid for the current payment state.","The action requested is not valid for the current payment state."
"GET to Restrictions API fail.","GET to Restrictions API fail."
"Customer not allowed to operate.","Customer not allowed to operate."
"Collector not allowed to operate.","Collector not allowed to operate."
"You have exceeded the max number of refunds for this payment.","You have exceeded the max number of refunds for this payment."
"GET to Movements Search API fail.","GET to Movements Search API fail."
"Payment too old to be refunded.","Payment too old to be refunded."
"Operation type not allowed to be refunded.","Operation type not allowed to be refunded."
"GET to Balance API fail.","GET to Balance API fail."
"The action requested is not valid for the current payment method type.","The action requested is not valid for the current payment method type."
"POST to Gateway Refund API fail.","POST to Gateway Refund API fail."
"Payment without movements.","Payment without movements."
"Collector hasn't enough available money.","Collector hasn't enough available money."
"Refund not found.","Refund not found."
"GET to Users API fail.","GET to Users API fail."
"Invalid users involved.","Invalid users involved."
"Invalid params for preference Api.","Invalid params for preference Api."
"Context not found.","Context not found."
"GET to Pricing Receiver API fail.","GET to Pricing Receiver API fail."
"GET to API USERS fail.","GET to API USERS fail."
"GET to API MARKETPLACE fail.","GET to API MARKETPLACE fail."
"GET to API CURRENCY fail.","GET to API CURRENCY fail."
"GET to API APPLICATION fail.","GET to API APPLICATION fail."
"Invalid PM_RELATION.","Invalid PM_RELATION."
"Invalid campaign_id.","Invalid campaign_id."
"Invalid coupon_code.","Invalid coupon_code."
"User email doesn't exist.","User email doesn't exist."
"The deduction does not exist.","The deduction does not exist."
"Invalid differential_pricing_id.","Invalid differential_pricing_id."
"Only admin users can perform the requested action.","Only admin users can perform the requested action."
"The action requested is not valid for the current payment_type.","The action requested is not valid for the current payment_type."
"The action requested is not valid for the current payment status.","The action requested is not valid for the current payment status."
"The action requested is not valid for the current payment status detail.","The action requested is not valid for the current payment status detail."
"The action requested is not valid for the current parameter status_detail.","The action requested is not valid for the current parameter status_detail."
"Transition not allowed more than once.","Transition not allowed more than once."
"Streaming Feed API fail.","Streaming Feed API fail."
"Binary Mode can't be false.","Binary Mode can't be false."
"Movement operations not found.","Movement operations not found."
"You cannot use application_fee with this payment.","You cannot use application_fee with this payment."
"The customer can't be equal to the collector.","The customer can't be equal to the collector."
"Invalid parmater for the scope.","Invalid parmater for the scope."
"Invalid card token.","Invalid card token."
"POST to Payments V0 API fail.","POST to Payments V0 API fail."
"Collector doesn't exist.","Collector doesn't exist."
"Collector inactive not allowed to operate.","Collector inactive not allowed to operate."
"Invalid user identification number.","Invalid user identification number."
"Collector guest not allowed to operate.","Collector guest not allowed to operate."
"Sponsor_id doesn't exist.","Sponsor_id doesn't exist."
"Sponsor_id doesn't is a MP user.","Sponsor_id doesn't is a MP user."
"Order_id not found.","Order_id not found."
"Invalid value for transaction_amount.","Invalid value for transaction_amount."
"Maximun quantity of test user reached for the specified client owner.","Maximun quantity of test user reached for the specified client owner."
"You cannot use fee configuration with this payment.","You cannot use fee configuration with this payment."
"You cannot use that fee configuration for this application_fee.","You cannot use that fee configuration for this application_fee."
"Invalid application_fee.","Invalid application_fee."
"Deferred capture not supported.","Deferred capture not supported."
"capture attribute must be boolean.","capture attribute must be boolean."
"invalid value for capture attribute.","invalid value for capture attribute."
"invalid value for transaction_amount.","invalid value for transaction_amount."
"POST to Gateway capture API fail.","POST to Gateway capture API fail."
"TRX is in an invalid state.","TRX is in an invalid state."
"This payment method doesn't support capturing for an amount different from the authorized.","This payment method doesn't support capturing for an amount different from the authorized."
"This transaction does not support to be refunded.","This transaction does not support to be refunded."
"Invalid value for gateway_operation.","Invalid value for gateway_operation."
"binary_mode attribute must be boolean.","binary_mode attribute must be boolean."
"Connection to red-zone timed out.","Connection to red-zone timed out."
"Invalid operation type.","Invalid operation type."
"GET to Splitter API fail.","GET to Splitter API fail."
"You have exceeded the maximum allowed days without capturing.","You have exceeded the maximum allowed days without capturing."
"GET to API RISK fail.","GET to API RISK fail."
"There is not enough money in payer's account to complete this operation.","There is not enough money in payer's account to complete this operation."
"POST to Balance Block API fail.","POST to Balance Block API fail."
"Only an admin can perform this action.","Only an admin can perform this action."
"Invalid value for type attribute.","Invalid value for type attribute."
"The fee doesn't exist.","The fee doesn't exist."
"Invalid fee amount.","Invalid fee amount."
"Invalid fee type.","Invalid fee type."
"Invalid fee payer.","Invalid fee payer."
"Invalid fees total amount.","Invalid fees total amount."
"Invalid client.","Invalid client."
"Invalid campaign status.","Invalid campaign status."
"Collector must have a cbt_mp tag.","Collector must have a cbt_mp tag."
"Invalid rate.","Invalid rate."
"The amount may not be refunded.","The amount may not be refunded."
"Token attribute can't be null.","Token attribute can't be null."
"rate can't be null.","rate can't be null."
"rate must be numeric.","rate must be numeric."
"rate must be positive.","rate must be positive."
"Invalid/unsupported counter_currency.currency_id.","Invalid/unsupported counter_currency.currency_id."
"counter_currency.currency_id can't be null.","counter_currency.currency_id can't be null."
"Missing counter_currency data.","Missing counter_currency data."
"Connection to Exchange Rate API Failed.","Connection to Exchange Rate API Failed."
"This payment can't be refunded.","This payment can't be refunded."
"rate attribute is not allowed.","rate attribute is not allowed."
"this movement operation locked.","this movement operation locked."
"the payment does not have fcId.","the payment does not have fcId."
"payment put operation locked.","payment put operation locked."
"payment post on DS operation locked.","payment post on DS operation locked."
site_disabled.,site_disabled.
"gateway transaction locked.","gateway transaction locked."
"Invalid operators users involved.","Invalid operators users involved."
"Payment methods search error.","Payment methods search error."
"get idempotency key failed.","get idempotency key failed."
"save idempotency key failed.","save idempotency key failed."
"Cannot infer Payment Method.","Cannot infer Payment Method."
"taxes_amount attribute is not allowed.","taxes_amount attribute is not allowed."
"Payer cannot have a cbt_mp tag.","Payer cannot have a cbt_mp tag."
"an application was found in multiple marketplaces.","an application was found in multiple marketplaces."
"max amount for account_fund with debit_card exceeded.","max amount for account_fund with debit_card exceeded."
