"Finance Cost","Custo do Parcelamento"
"<p>In order to sell or test a store, you must first enter your test and production credentials.</p><p>Using the account of the collaborator with access to Mercado Pago Seller Account, search the credentials according to the account: <a href='https://www.mercadopago.com/mla/account/credentials' target='_blank'>Argentina</a>, <a href='https://www.mercadopago.com/mlb/account/credentials' target='_blank'>Brazil</a>, <a href='https://www.mercadopago.com/mlc/account/credentials' target='_blank'>Chile</a>, <a href='https://www.mercadopago.com/mco/account/credentials' target='_blank'>Colombia</a>, <a href='https://www.mercadopago.com/mlm/account/credentials' target='_blank'>Mexico</a>, <a href='https://www.mercadopago.com/mlu/account/credentials' target='_blank'>Uruguay</a> and <a href='https://www.mercadopago.com/mpe/account/credentials' target='_blank'>Peru</a>.</p>","<p>Para vender o testear la tienda , tienes que ingresar las credenciales de test y de producción.</p><p>Con el colaborador con acceso a la Cuenta del Vendedor de Mercado Pago, busca las credenciales según la cuenta: <a href='https://www.mercadopago.com/mla/account/credentials' target='_blank'>Argentina</a>, <a href='https://www.mercadopago.com/mlb/account/credentials' target='_blank'>Brazil</a>, <a href='https://www.mercadopago.com/mlc/account/credentials' target='_blank'>Chile</a>, <a href='https://www.mercadopago.com/mco/account/credentials' target='_blank'>Colombia</a>, <a href='https://www.mercadopago.com/mlm/account/credentials' target='_blank'>Mexico</a>, <a href='https://www.mercadopago.com/mlu/account/credentials' target='_blank'>Uruguay</a> and <a href='https://www.mercadopago.com/mpe/account/credentials' target='_blank'>Peru</a>.</p>"
"Checkout operation mode","Modo de Operación del Checkout"
"When operational mode is set as Sandbox, your sales will not be communicated to financial institutions.","Cuando el modo operacional esté definido como Sandbox, tus ventas no serán comunicadas a las instituciones financieras."
"Public Key - production","Public Key - producción"
"Access Token - production","Access Token - producción"
"Public Key - Sandbox","Public Key - Sandbox"
"Access Token - Sandbox","Access Token - Sandbox"
"Developers support","Soporte para desarrolladores"
Debug,Debug
"We record your store's communications with Mercado Pago in orer to offer a better support. Please note it is not recommended to use the debug mode when your store is in production mode.","Registramos las comunicaciones de tu tienda con Mercado Pago para ofrecer un soporte aún mejor. Atención: no se recomienda usar el modo debug con la tienda en modo de producción."
"Rewrite notification URL","Reescribe la notificación URL"
"You can override notification URLs which are automatically generated. In order to use the module's default, please do not fill in this details.","Puedes substituir las URLs de notificación que se generan automáticamente. Para usar el padrón del módulo, por favor, no cargues estos datos."
"Store Name, Category and Integrator ID","Nombre de la tienda, Categoría e ID del Integrador"
"Store Name","Nombre de la tienda"
"This is the store's name as it will appear on the customer's invoice. In case the sale was made through Checkout Pro, the invoice will also show Mercado Pago in the name.","El nombre de la tienda igual a como figurará en la factura del cliente. Si la venta se hizo por medio del Checkout Pro, la factura también identificará a Mercado Pago en el nombre."
"Category of your store","Categoría de tu tienda"
"The product category of your store on Mercado Pago.","La categoría del producto de tu tienda en Mercado Pago."
"Integrator ID","ID del integrador"
"With this number, we are able to identify all your transactions and know how many sales were processed using your account. Become a certified Mercado Pago partner and request your integrator_id <a href='https://docs.google.com/forms/d/1EeO__nZuqHf4cb81NpwtDSybPT7COluSZVrXR4A8F7Q/viewform?edit_requested=true' target='_blank'>here</a>.","Con este número, podemos identificar todas tus operaciones y saber cuántas ventas fueron procesadas con tu cuenta. Conviértete en un socio certificado de Mercado Pago y pide tu integrator_id <a href='https://docs.google.com/forms/d/1EeO__nZuqHf4cb81NpwtDSybPT7COluSZVrXR4A8F7Q/viewform?edit_requested=true' target='_blank'>here</a>."
"Sales requirements","Exigencias de ventas"
"Checkout Pro","Checkout Pro"
Enabled,Activado
Title,Título
"Payment method title at the store's checkout.","Título de la forma de pago en el checkout de la tienda."
"Deadline for payment","Plazo límite para el pago"
"Calendar days.","Días seguidos."
"Payment completion view","Visualización de la finalización del pago"
"Modal: Buyer will close via modal on the checkout screen. Redirection: Buyer will be redirected to the Mercado Pago website.","Modal, el cliente finalizará vía modal en la pantalla de checkout. Redireccionamiento, el cliente será redireccionado al sitio de Mercado Pago"
"Removed payment method","Medio de pago finalizado"
"Select the payment methods you do NOT want to accept.","Selecciona los medios de pago que NO quieres aceptar."
"Installment options limit","Límite de cuotas"
"It is possible to configure the number of installments in Checkout Pro, but the limit of installments per purchase will also depend on the minimum and maximum amount defined by each flag in the country of your store.","Se puede configurar el número de cuotas en Checkout Pro, pero el límite de cuotas por compra también depende de los valores mínimo y máximo determinados por cada bandera del país en que se encuentra tu tienda."
"Conversion tags","Tags de conversión"
"You can link your Checkout Pro sales with external services.","Puedes asociar tus ventas del Checkout Pro a servicios externos."
Facebook,Facebook
"Link your sales with Facebook by entering the ID No. and your tracking code.","Asocia tus ventas al Facebook, informando el ID del de tu código de rastreo."
"Google Ads","Google Ads"
"Link your sales with Google Ads by entering the ID No. and your tracking code.","Asocia tus ventas al Google Ads, informando el ID del tu código de rastreo."
"Link your sales with Google Ads by entering the Label and your tracking code.","Asocia tus ventas al Google Ads, informando el Label del tu código de rastreo."
"Customization and Styles","Personalización y estilos"
"Set up how the items will appear in the modal window in which the buyer will complete the purchase.","Define la apariencia de los ítems en la ventana modal en la que el cliente finalizará la compra."
"Header Color","Color del header"
"Elements Color","Colores de los elementos"
"Common Payment Method Definitions","Definiciones comunes de medios de pago"
"Minimum order total","Monto mínimo del pedido"
"Minimum amount to pay with Checkout Pro.","Monto mínimo para pago con Checkout Pro."
"Maximum order amount","Monto máximo de pedido"
"Maximum amount to pay with Checkout Pro","Monto máximo para pago con Checkout Pro."
"Payment From Specific Countries","Pago de países específicos"
"Countries eligible to use this payment method.","Países que pueden usar este medio de pago."
"Sort Order","Orden de visualización"
"Sets up in which order the payment methods will be shown at the Checkout.","Define el orden de visualización del medio de pago en el Checkout."
"Checkout Transparent","Checkout Transparente"
Abitab,Abitab
"Capture of customer details in the payment form","Captura de datos del cliente en el formulario de pago"
"Activate this option if you want to obtain buyer`s documents details, using an additional field on the payment form. Disable it if your store already gets these details.","Activa esta función para capturar documentos de clientes con un campo adicional en el formulario de pago. Desactívala si la tienda ya captura estos datos."
"Capture document identification","Capturar documento de identificación"
"Minimum amount to pay with Abitab.","Monto mínimo para el pago con Abitab."
"Maximum amount for payment with Abitab.","Monto máximo para pago con Abitab."
Banamex,Banamex
"Minimum amount for payment with Banamex.","Monto mínimo para el pago con Banamex."
"Maximum amount for payment with Banamex.","Monto máximo para pago con Banamex."
Bancomer,Bancomer
"Minimum amount for payment with Bancomer.","Monto mínimo para el pago con Bancomer."
"Maximum amount for payment with Bancomer.","Monto máximo para pago con Bancomer."
"Boleto Bancário","Boleto Bancário"
"Capture name","Capturar nombre"
"In case you leave this option active, an additional field in the payment form will obtain this information. If disabled, details will be retrieved directly from other fields within your store.","Si se activa, el formulario de pago mostrará un campo adicional para colectar esa información. Si se inhabilita, el monto será capturado directamente de otros campos en tu tienda."
"Minimum amount for payment with Boleto Bancário.","Monto mínimo para el pago con Boleto Bancário."
"Maximum amount for payment with Boleto Bancário.","Monto máximo para pago con Boleto Bancário."
"Credit and debit cards","Tarjeta de crédito y débito"
"Enable vault","Habilitar caja fuerte"
"Allows buyer to save the card for future use.","Permite que tu cliente guarde la tarjeta para uso futuro."
"Payment Action","Perfil de pago"
"Consult the store's business sector to be able to select capturing the payment at the time of the purchase or at a later moment.","Consulta la rama de negocios de la tienda para poder elegir entre capturar el pago en el acto de la compra o posteriormente."
"Use Binary Mode","Usa el modo binario"
"Installment and interest","Cuotas e intereses"
"Set within your account","Definir en tu cuenta"
"Minimum amount for payment with this payment method.","Monto mínimo para este medio de pago."
"Maximum amount for payment with this payment method.","Monto máximo para este medio de pago."
Efecty,Efecty
"Minimum amount to pay with Efecty.","Monto mínimo para el pago con Efecty."
"Maximum amount to pay with Efecty.","Monto máximo para pago con Efecty."
Oxxo,Oxxo
"Minimum amount to pay with Oxxo.","Monto mínimo para el pago con Oxxo."
"Maximum amount to pay with Oxxo.","Monto máximo para pago con Oxxo."
"Pago Efectivo","Pago Efectivo"
"Minimum amount to pay with Pago Efectivo.","Valor mínimo para pagamento Pago Efectivo."
"Maximum amount to pay with Pago Efectivo.","Monto máximo para pago con Pago Efectivo."
"Pago Fácil","Pago Fácil"
"Minimum amount to pay with Pago Fácil.","Valor mínimo para pagamento Pago Fácil."
"Maximum amount to pay with Pago Fácil.","Monto máximo para pago con Pago Fácil."
PayCash,PayCash
"Minimum amount to pay with PayCash.","Valor mínimo para pagamento PayCash."
"Maximum amount to pay with PayCash.","Monto máximo para pago con PayCash."
"Casas Lotéricas","Casas Lotéricas"
"Minimum amount to pay with Pec.","Valor mínimo para pagamento Pec."
"Maximum amount to pay with Pec.","Valor mínimo para pagamento Pec."
Pse,Pse
"Minimum amount to pay with Pse.","Valor mínimo para pagamento Pse."
"Maximum amount to pay with Pse.","Valor mínimo para pagamento Pse."
"Rapi Pago","Rapi Pago"
Redpagos,Redpagos
"Minimum amount to pay with Redpagos.","Valor mínimo para pagamento Redpagos."
"Maximum amount to pay with Redpagos.","Valor mínimo para pagamento Redpagos."
Serfin,Serfin
"Minimum amount to pay with Serfin.","Valor mínimo para pagamento Serfin."
"Maximum amount to pay with Serfin.","Valor mínimo para pagamento Serfin."
Webpay,Webpay
"Minimum amount to pay with Webpay.","Valor mínimo para pagamento Webpay."
"Maximum amount to pay with Webpay.","Valor mínimo para pagamentoh Webpay."
"Store information hosted in Mercado Pago","Información de la tienda en Mercado Pago"
"User Id","Código de identificación"
"User Email","E-mail de usuario"
"User Name","Nombre"
"Review the card number.","Review the card number."
"Review the due date.","Review the due date."
"Review the data.","Review the data."
"Review the card's security code.","Review the card's security code."
"We are unable to process your payment.","We are unable to process your payment."
"You must authorize your card issuer to pay the amount to Mercado Pago.","You must authorize your card issuer to pay the amount to Mercado Pago."
"Call your card center to activate your card. The phone number is on the back of your card.","Call your card center to activate your card. The phone number is on the back of your card."
"We were unable to process your payment.","We were unable to process your payment."
"You have already made a payment with this amount. If you need to pay again, use another card or other form of payment. Your payment has been declined.","You have already made a payment with this amount. If you need to pay again, use another card or other form of payment. Your payment has been declined."
"Choose another payment method. We recommend cash payment methods.","Choose another payment method. We recommend cash payment methods."
"The card does not have enough balance.","The card does not have enough balance."
"The card does not allow payment in installments.","The card does not allow payment in installments."
"You have reached the allowed attempt limit. Choose another card or payment method.","You have reached the allowed attempt limit. Choose another card or payment method."
"The card does not process the payment.","The card does not process the payment."
"The payment was rejected because the user does not have the credit function enabled on his multiple card (debit and credit).","The payment was rejected because the user does not have the credit function enabled on his multiple card (debit and credit)."
"mp_payment_id","Identificación de pago (Mercado Pago)"
"card_installments","Cuotas"
"card_type","Bandeira"
"card_number","Numero de tarjeta"
"card_holder_name","Nombre impreso en tarjeta"
"card_exp_year","Año de vencimiento"
"card_exp_month","Mês de vencimiento"
"payer_document_identification","Documento de identificación"
"payer_first_name","Nombre"
"payer_last_name","Apellido"
"init_point","Link"
"date_of_expiration","Fecha de expiración"
"barcode","Código de barras"
"external_resource_url","Enlace de pago"
"verification_code","Código de verificación"
"financial_institution","Institución"
"payer_document_type","Tipo de documento"
"mp_status","Status (Mercado Pago)"
"mp_status_detail","Status Detallado (Mercado Pago)"
"Your payment was declined due to an error in the store setup. Please get in touch with the store support and try again later.","Tu pago fue rechazado por un error en la configuración de la tienda. Contáctate con el soporte de la tienda e inténtalo más tarde."
"It was not possible to complete the payment due to a communication error. Please try again later.","No pudimos completar el pago por una falla de comunicación. Inténtalo más tarde."
"Your payment was declined because some of your card details are incorrect. Please check the information to complete the purchase.","Tu pago fue rechazado porque algún dato de la tarjeta es incorrecto. Verifica la información para finalizar la compra."
"Your payment was declined. We recommend that you use the device and payment method you usually use for online shopping.","Tu pago fue rechazado. Recomendamos que utilices el dispositivo y el medio de pago que sueles usar para compras online."
"It was not possible to complete the payment. Please use another method to complete the purchase.","No pudimos completar el pago. Usa otro medio para finalizar tu compra."
"It was not possible to complete the payment due to a communication error. Please try again later or use another payment method.","No pudimos completar el pago por una falla de comunicación. Inténtalo más tarde o usa otro medio de pago."
"Offline Payments Methods","Medios de Pago OFF"
"Exclude Payment Methods","Excluir métodos de pago"
"Select the payment methods you do NOT want to accept.","Seleccione los métodos de pago que NO desea aceptar."
"Payment Title","Título del metodo de pago"
"Accept all payment methods","Aceptar todos los medios de pago"
"There are no payment methods available, please contact the seller.", "No hay métodos de pago disponibles, póngase en contacto con el vendedor."
"Generate the ticket and pay it wherever you want.","Genere el ticket de pago y pague."
"Will be approved within 2 business days.","Será aprobado en hasta 2 días hábiles."
"Ticket - MercadoPago","Ticket - MercadoPago"
"PAYMENT INFORMATION","INFORMACIÓN DE PAGO"
"Payment Number (Mercado Pago): %1","Número de Pago (Mercado Pago): %1"
"FIRST PAYMENT METHOD", "PRIMERA FORMA DE PAGO"
"Card number:","Número de la tarjeta:"
"Expiration date:","Fecha de vencimiento:"
"Card holder:","Titular de la tarjeta:"
"Payment method:","Medio de pago:"
"Installments:","Cuotas:"
"Identification in the invoice:","Identificación en el resumen:"
"Payment status:","Estado del pago:"
"Detailed payment status:","Estado detallado del pago:"
"SECOND PAYMENT METHOD","SEGUNDA FORMA DE PAGO"
"Your order is <b>%1</b>!","Recibimos tu pedido <b>%1</b>!"
"Thank you for your purchase!","Gracias por su compra!"
"We are processing your payment","Estamos procesando tu pago"
"Continue Shopping","Seguir comprando"
"Create an Account","Crear una cuenta"
"First card details:","Datos de la primera tarjeta:"
"Enter the amount to be paid with the first method *", "Ingresá el monto a pagar con el primer medio *"
"Value not allowed!","Valor no permitido!"
"Remaining value ","Valor restante "
"Credit card","Tarjeta de crédito"
"Second card details:","Datos de la segunda tarjeta:"
"Payment processed by Mercado Pago","Pago procesado por Mercado Pago"
"This is a required field.","Este es un campo obligatorio."
"You can track your order status by creating an account.","Puede rastrear el estado de su pedido creando una cuenta."
"cardNumber should be a number.","Número de la tarjeta debería ser un número."
"cardNumber is empty.","Número de la tarjeta está vacío."
"cardNumber should be of length between '8' and '19'.","Número de la tarjeta debe ser de longitud entre '8' y '19'."
"securityCode should be a number.","CVV - Código de seguridad debería ser un número."
"securityCode should be of length '3' or '4'.","CVV - Código de seguridad debe ser de longitud '3' o '4'."
"securityCode is empty.","CVV - Código de seguridad esta vacio."
"expirationMonth should be a number.","Mes de vencimiento debería ser un número."
"expirationMonth is empty.","Mes de vencimiento esta vacio."
"expirationYear should be of length '2' or '4'.","Año de vencimiento debe ser de longitud '2' o '4'."
"expirationYear should be a number.","Año de vencimiento debería ser un número."
"expirationYear is empty.","Año de vencimiento esta vacio."
"expirationMonth should be a value from 1 to 12.","Mes de vencimiento debe ser un valor de 1 a 12."
"expirationYear value should be greater or equal than %1.", "Año de vencimiento no es válido"
"expirationMonth value should be greater than '%1' or expirationYear value should be greater than '%2'.", "Mes de vencimiento o el valor del año de vencimiento no es válido."
"cardNumber should be of length '16'.","Número de la tarjeta debe ser de longitud 16."
"Pay with two cards","Pagar con dos tarjetas"
"Payment with two cards","Pago con dos tarjetas"
"Interest-free","Sin interés"
"Your Bank will apply Interest","Tu Banco aplicará Intereses"
