"Link your sales with Google Ads by entering the ID No. and your tracking code.","Associe suas vendas ao Google Ads, informando o ID de seu código de rastreamento."
"Link your sales with Google Ads by entering the Label and your tracking code.","Associe suas vendas ao Google Ads, informando a Label de seu código de rastreamento."
"Customization and Styles","Personalização e estilos"
"Set up how the items will appear in the modal window in which the buyer will complete the purchase.","Defina a aparência de itens na janela modal em que o cliente conclui a compra."
"Header Color","Cor do header"
"Elements Color","Cores dos elementos"
"Common Payment Method Definitions","Definições comuns de meios de pagamento"
"Minimum order total","Valor mínimo do pedido"
"Minimum amount to pay with Checkout Pro.","Valor mínimo para pagamento com Checkout Pro."
"Maximum order amount","Valor máximo de pedido"
"Maximum amount to pay with Checkout Pro","Valor máximo para pagamento com Checkout Pro."
"Payment From Specific Countries","Pagamento de países específicos"
"Countries eligible to use this payment method.","Países que podem usar este meio de pagamento."
"Sort Order","Ordem de exibição"
"Sets up in which order the payment methods will be shown at the Checkout.","Define a ordem de exibição do meio de pagamento no Checkout."
"Checkout Transparent","Checkout Transparente"
"Capture of customer details in the payment form","Captura de dados do cliente no formulário de pagamento"
"Activate this option if you want to obtain buyer`s documents details, using an additional field on the payment form. Disable it if your store already gets these details.","Ative esta função para capturar documentos de clientes com um campo adicional no formulário de pagamento. Desative se a loja já captura estes dados. "
"Capture document identification","Capturar documento de identificação"
"Capture name","Capturar nome"
"In case you leave this option active, an additional field in the payment form will obtain this information. If disabled, details will be retrieved directly from other fields within your store.","Se ativado, o formulário de pagamento vai mostrar um campo adicional para coletar essas informações. Se desabilitado, o valor será capturado diretamente de outros campos em sua loja."
"Credit and debit cards","Cartão de crédito e débito"
"Enable vault","Habilitar cofre"
"Allows buyer to save the card for future use.","Permite que seu cliente salve o cartão para uso futuro."
"Payment Action","Perfil do pagamento"
"Consult the store's business sector to be able to select capturing the payment at the time of the purchase or at a later moment.","Consulte o ramo de negócios da loja para poder escolher entre capturar o pagamento no ato da compra ou posteriormente."
"Use Binary Mode","Usar modo binário"
"Installment and interest","Parcelamento e juros"
"Set within your account","Definir na sua conta"
"Minimum amount for payment with this payment method.","Valor mínimo para este meio de pagamento."
"Maximum amount for payment with this payment method.","Valor máximo para este meio de pagamento."
Pse,Pse
"Minimum amount to pay with Pse.","Valor mínimo para pagamento Pse."
"Maximum amount to pay with Pse.","Valor máximo para pagamento Pse."
Webpay,Webpay
"Minimum amount to pay with Webpay.","Valor mínimo para pagamento Webpay."
"Maximum amount to pay with Webpay.","Valor máximo para pagamento Webpay."
"Store information hosted in Mercado Pago","Informações da loja no Mercado Pago"
"User Id","Código de identificação"
"User Email","E-mail do usuário"
"User Name","Nome"
"mp_payment_id","Identificação do Pagamento (Mercado Pago)"
"card_installments","Parcelas"
"card_finance_cost","Custo do Parcelamento"
"card_type","Bandeira"
"card_number","Número do cartão"
"card_holder_name","Nome impresso no cartão"
"card_exp_year","Ano de Expiração"
"card_exp_month","Mês de Expiração"
"payer_document_identification","Documento de Identificação"
"payer_first_name","Nome"
"payer_last_name","Sobrenome"
"init_point","Link"
"date_of_expiration","Data de Expiração"
"barcode","Código de Barras"
"external_resource_url","Link de Pagamento"
"verification_code","Código de Verificação"
"financial_institution","Instituição"
"payer_document_type","Tipo de Documento"
"mp_status","Status (Mercado Pago)"
"mp_status_detail","Status Detalhado (Mercado Pago)"
"Link","Link"
"Line Code","Código de Barras"
"Payer Document Type","Tipo de Documento"
"Payment Type (Mercado Pago)","Tipo de Pagamento (Mercado Pago)"
"Installments (Mercado Pago)","Parcelamento (Mercado Pago)"
"Pix QR Code","QR Code do Pix"
"Pix Code","Código do Pix"
"The order %1, was refunded directly on Mercado Pago, you need to check stock of sold items.","O pedido %1, foi reembolsado diretamente no Mercado Pago, você precisa verificar o estoque de itens vendidos."
"The order %1, was refunded directly on Mercado Pago, but an error occured when refunding offline, you need to check order refunds and stock of sold items.","O pedido %1, foi reembolsado diretamente no Mercado Pago, mas ocorreu um erro ao reembolsar offline, é necessário verificar o reembolso do pedido e estoque de itens vendidos."
"Order refunded in Mercado Pago, refunded offline in the store.","Pedido reembolsado no Mercado Pago, reembolsado offline criado na loja."
"Order refunded.","Pedido reembolsado."
"API Integration","API Integração"
"Receive refund notification","Receber notificação de reembolso"
"Enable the creation of a Credit Note when a refund occurs in Mercado Pago.","Habilite a criação Nota de Crédito quando ocorrer um reembolso no Mercado Pago."
"Enable Facebook pixel","Ativar pixel do Facebook"
"Enable Google pixel","Ativar pixel do Google"
"Please check store id %1 credentials, they are invalid so they were deleted.","Por favor, verifique as credenciais da loja ID %1, elas são inválidas portanto vão ser apagadas."
"Your payment was declined due to an error in the store setup. Please get in touch with the store support and try again later.","Seu pagamento recusado por um erro na configuração da loja. Entre em contato com o suporte da loja e tente novamente mais tarde."
"It was not possible to complete the payment due to a communication error. Please try again later.","Não foi possível completar o pagamento por uma falha de comunicação. Tente novamente mais tarde."
"Your payment was declined because some of your card details are incorrect. Please check the information to complete the purchase.","Seu pagamento foi recusado, pois algum dado do cartão está incorreto. Verifique as informações para finalizar a compra."
"Your payment was declined. We recommend that you use the device and payment method you usually use for online shopping.","Seu pagamento foi recusado. Recomendamos que você utilize o dispositivo e meio de pagamento que costuma usar para compras on-line."
"It was not possible to complete the payment. Please use another method to complete the purchase.","Não foi possível completar o pagamento. Use outro meio para finalizar sua compra."
"It was not possible to complete the payment due to a communication error. Please try again later or use another payment method.","Não foi possível completar o pagamento por uma falha de comunicação. Tente novamente mais tarde ou use outro meio de pagamento."
"Offline Payments Methods","Métodos de Pagamento Offline"
"Exclude Payment Methods","Excluir métodos de pagamento"
"Select the payment methods you do NOT want to accept.","Selecione os métodos de pagamento que você NÃO deseja aceitar."
"Payment Title","Título do Método de Pagamento"
"Accept all payment methods","Aceite todos os métodos de pagamento"
"There are no payment methods available, please contact the seller.", "Não há métodos de pagamento disponíveis, entre em contato com o vendedor."
"Generate the ticket and pay it wherever you want.", "Gere o boleto e pague-o onde quiser."
"Will be approved within 2 business days.","Será aprovado até 2 dias úteis."
"Ticket - MercadoPago","Ticket - MercadoPago"
"Expiration","Expiração"
"PAYMENT INFORMATION","INFORMAÇÃO DE PAGAMENTO"
"Payment Number (Mercado Pago): %1","Número de Pagamento (Mercado Pago): %1"
"FIRST PAYMENT METHOD", "PRIMEIRO MEIO DE PAGAMENTO"
"Card number:","Número do cartão:"
"Expiration date:","Data de vencimento:"
"Card holder:","Titular do cartão:"
"Payment method:","Meio de pagamento:"
"Installments:","Parcelas:"
"Identification in the invoice:","Identificação na Fatura:"
"Payment status:","Status do pagamento:"
"Detailed payment status:","Status detalhado do pagamento:"
"SECOND PAYMENT METHOD","SEGUNDO MEIO DE PAGAMENTO"
"Your order is <b>%1</b>!","Recebemos seu pedido <b>%1</b>!"
"Thank you for your purchase!","Agradecemos pela sua compra!"
"We are processing your payment","Estamos processando seu pagamento"
"Continue Shopping","Continuar comprando"
"Create an Account","Criar uma conta"
"First card details:","Dados do primeiro cartão:"
"Enter the amount to be paid with the first method *", "Insira o valor a pagar com o primeiro meio *"
"Value not allowed!","Valor não permitido!"
"Remaining value ","Valor restante "
"Credit card","Cartão de crédito"
"Second card details:","Dados do segundo cartão:"
"Payment processed by Mercado Pago","Pagamento procesado por Mercado Pago"
"This is a required field.","Este é um campo obrigatório."
"You can track your order status by creating an account.","Você pode acompanhar o status do seu pedido criando uma conta."
"cardNumber should be a number.","Número do cartão deve ser um número."
"cardNumber is empty.","Número do cartão está vazio."
"cardNumber should be of length between '8' and '19'.","Número do cartão deve ter tamanho entre '8' ou '19' dígitos."
"securityCode should be a number.","CVV - Código de segurança deve ser um número."
"securityCode should be of length '3' or '4'.","CVV - Código de segurança deve ter tamanho de '3' ou '4' dígitos."
"securityCode is empty.","CVV - Código de segurança está vazio."
"expirationMonth should be a number.","Mês de expiração deve ser um número."
"expirationMonth is empty.","Mês de expiração is empty."
"expirationYear should be of length '2' or '4'.","Ano de expiração deve ter tamanho de '2' or '4' dígitos."
"expirationYear should be a number.","Ano de expiração deve ser um número."
"expirationYear is empty.","Ano de expiração está vazio."
"expirationMonth should be a value from 1 to 12.","Mês de expiração deve ser um valor entre 1 e 12."
"expirationYear value should be greater or equal than %1.", "Ano de expiração é inválido"
"expirationMonth value should be greater than '%1' or expirationYear value should be greater than '%2'.", "Mês de expiração ou ano de expiração é inválido."
"cardNumber should be of length '16'.","Número do cartão deve ter tamanho de 16 dígitos."
"Pay with two cards","Pagar com dois cartões"
"Payment with two cards","Pagamento com dois cartões"
"Interest-free","Sem juros"
"Your Bank will apply Interest","Seu banco aplicará juros"
"Complete your order to proceed with payment.","Finalize seu pedido para seguir com o pagamento."
"approved","Aprovado"
"cancelled","Cancelado"
"authorized","Autorizado"
"accredited","Acreditado"
"rejected","Rejeitado"
"pending","Pendente"
"partially_refunded","Reembolso Parcial"
"cc_rejected_call_for_authorize","Pedido de autorização rejeitado"
"in_process","Em processo"
"by_admin","Pelo Admin"
"cc_rejected_high_risk","Alto risco"
"cc_rejected_insufficient_amount","Valor Insuficiente"
"cc_rejected_other_reason","Outro Motivo"
"cc_rejected_bad_filled_security_code","security_code preenchido incorretamente"
"cc_rejected_bad_filled_other","Preenchido incorretamente"
"cc_rejected_bad_filled_card_number","card_number preenchido incorretamente"
"cc_rejected_bad_filled_date","Data preenchida incorretamente"
"cc_rejected_card_disabled","Cartão Desativado"
"cc_rejected_max_attempts","Tentativas máximas"
"cc_rejected_invalid_installments","Parcela preenchida incorretamente"
"cc_rejected_duplicated_payment","Pagamento Duplicado"
"bank_rejected","Banco rejeitado"
"bank_error","Erro do Banco"
"rejected_by_bank","Rejeitado pelo Banco"
"refunded","Reembolsado"
"by_collector","Pelo Vendedor"
"expired","Expirado",
"by_payer","Pelo pagador"
"pending_review_manual","Pendente de revisão manual"
"pending_capture","Pendente de captura"
"reimbursed","Reembolsado"
"pending_waiting_payment","Aguardando pagamento pendente"
"pending_waiting_for_remedy","Pendente aguardando solução"
"unavailable","Indisponível"
"pending_waiting_transfer","Peendente aguardando transferencia"
"Credit or Debit Card","Cartão de Crédito ou Débito"
"Email Address","Endereço de email"
"We'll email you an order confirmation with details and tracking info.","Enviaremos um e-mail com a confirmação do pedido com detalhes e informações de rastreamento."
"Your order number is: %1.","Recebemos seu pedido: %1!"
"Your order # is: <span>%1</span>.","Recebemos seu pedido: <span>%1</span>!"
"By continuing, you agree to our ","Ao continuar você aceita nossos "
"Terms and Conditions.","Termos e Condições."
"Status (Mercado Pago)","Status (Mercado Pago)"
"Status Detail (Mercado Pago)","Detalhe status (Mercado Pago)"
"Google Ads - Id","Google Ads - Id"
"Google Ads - Label","Google Ads - Label"
"The card details are incorrect.","Os dados do cartão estão incorretos."
"The payment was rejected due to suspicion of fraud.","O pagamento foi recusado por suspeita de fraude."
"The payment method used requires prior authorization of the purchase amount.","O meio de pagamento utilizado requer autorização prévia do valor da compra."
"This card is blocked.","O cartão está bloqueado."
"You made a similar payment a short time ago. Please use another payment method.","Você fez um pagamento parecido há pouco tempo, utilize outro meio de pagamento."
"Something went wrong with the payment. Please use another card or choose a different payment method.","Algo deu errado com o pagamento. Pague com outro cartão ou escolha outro meio de pagamento."
"The number of installments chosen is invalid.","O número de parcelas escolhido é inválido."
"The maximum number of attempts was reached.","O número máximo de tentativas de pagamento foi atingido."
"Something went wrong. Please try again.","Algo deu errado, tente novamente."
"It was not possible to complete the payment. Please use another method to complete the purchase.","Não foi possível completar o pagamento. Use outro meio para finalizar sua compra."
"Your payment was declined because some of your card details are incorrect. Please check the information to complete the purchase or try another payment method.","Seu pagamento foi recusado, pois algum dado do cartão está incorreto. Verifique as informações para finalizar a compra ou tente com outro meio de pagamento."
"Your credentials are incorrect. Please double-check in your account your credentials are correct.","Suas credenciais estão incorretas. Por favor verifique novamente se preencheu as credenciais da sua loja corretamente."
"Your credentials are incorrect. Test credentials have been filled in and should be used in sandbox mode. Please check the credentials again.","Suas credenciais estão incorretas. Foram preenchidas credenciais de teste e devem ser usadas no modo sandbox. Por favor verifique as credenciais novamente."
"Your credentials are incorrect. Production credentials have been filled in and should be used in production mode. Please check the credentials again.","Suas credenciais estão incorretas. Foram preenchidas credenciais de produção e devem ser usadas no modo produção. Por favor verifique as credenciais novamente."
"Minimum transaction amount not allowed for the chosen brand. Please choose another flag or make a purchase over %1.", "Valor mínimo da transação não permitido para a bandeira escolhida. Por favor escolha outra bandeira ou faça uma compra acima de %1."
"Download the Boleto","Download do Boleto"
"pending_contingency", "Pendente de contingência"
"Pay with the method of payment you prefer and all the <strong>security of Mercado Pago</strong>.</br>If you already have an account at Mercado Livre, use the same email and password.</br>Use your Mercado Pago account balance or saved cards to buy without filling out more details.","Pague com o meio de pagamento que preferir e toda a <strong>segurança do Mercado Pago</strong>.</br>Se você já tem conta no Mercado Livre, use o mesmo e-mail e senha.</br>Use seu saldo do Mercado Pago ou cartões salvos para comprar sem preencher mais dados."
"Payments with <strong>immediate approval</strong>.<br>The payment term is up to <strong>%1</strong>.<br>At checkout, you will receive the code to make payment at the bank of your choice (check with your bank for your daily Pix transfer limit).","Pagamentos com <strong>aprovação imediata</strong>.<br>O prazo de pagamento é de até <strong>%1</strong>.<br>Ao finalizar a compra, você receberá o código para fazer o pagamento no banco que escolher (consulte seu banco para saber seu limite diário de transferência por Pix)."
"Please fill a valid color in the Checkout Pro configuration","Preencha uma cor válida na configuração do Checkout Pro"
